Id,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Website,Exchange
3649,MHH,"Mastech Digital, Inc",4.7068,$51.78M,n/a,Consumer Services,Professional Services,https://www.nasdaq.com/symbol/mhh,NYSE
3650,MTNB,"Matinas Biopharma Holdings, Inc.",0.83,$118.68M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/mtnb,NYSE
3651,MNI,McClatchy Company (The),2.75,$21.79M,1988,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/mni,NYSE
3652,IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate",27.5455,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ipb,NYSE
3653,MXC,Mexco Energy Corporation,3.3674,$6.87M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/mxc,NYSE
3654,CCA,MFS California Insured Municipal Trust,11.92,$33.21M,1999,n/a,n/a,https://www.nasdaq.com/symbol/cca,NYSE
3655,MICR,"Micron Solutions, Inc.",2.71,$7.78M,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,https://www.nasdaq.com/symbol/micr,NYSE
3656,MLSS,"Milestone Scientific, Inc.",0.3273,$13.36M,2015,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/mlss,NYSE
3657,MYO,Myomo Inc.,0.8101,$13.85M,2017,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/myo,NYSE
3658,NNVC,"NanoViricides, Inc.",0.2385,$18.3M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,https://www.nasdaq.com/symbol/nnvc,NYSE
3659,ATEST,NASDAQ TEST STOCK,25,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest,NYSE
3660,ATEST.A,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.a,NYSE
3661,ATEST.B,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.b,NYSE
3662,ATEST.C,NASDAQ TEST STOCK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/atest.c,NYSE
3663,NHC,National HealthCare Corporation,81.25,$1.24B,n/a,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/nhc,NYSE
3664,NAVB,"Navidea Biopharmaceuticals, Inc.",0.68,$6.84M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/navb,NYSE
3665,NTIP,"Network-1 Technologies, Inc.",2.25,$53.48M,n/a,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/ntip,NYSE
3666,NBW,Neuberger Berman California Municipal Fund Inc,13.5869,$75.42M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbw,NYSE
3667,NHS,Neuberger Berman High Yield Strategies Fund,11.72,$229.02M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nhs,NYSE
3668,NML,Neuberger Berman MLP and Energy Income Fund Inc.,7.4,$419.28M,2013,n/a,n/a,https://www.nasdaq.com/symbol/nml,NYSE
3669,NBH,Neuberger Berman Municipal Fund Inc.,14.57,$273.97M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbh,NYSE
3670,NBO,Neuberger Berman New York Municipal Fund Inc.,12.29,$62.4M,2002,n/a,n/a,https://www.nasdaq.com/symbol/nbo,NYSE
3671,NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc.",5.16,$244.69M,2003,n/a,n/a,https://www.nasdaq.com/symbol/nro,NYSE
3672,GBR,"New Concept Energy, Inc",1.68,$8.62M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/gbr,NYSE
3673,NEN,New England Realty Associates Limited Partnership,61.754,$227.11M,n/a,Consumer Services,Building operators,https://www.nasdaq.com/symbol/nen,NYSE
3674,NGD,New Gold Inc.,0.7211,$417.6M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ngd,NYSE
3675,NXE,Nexgen Energy Ltd.,1.5,$529.71M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nxe,NYSE
3676,HLTH,Nobilis Health Corp.,0.1552,$12.14M,2015,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/hlth,NYSE
3677,NAK,"Northern Dynasty Minerals, Ltd.",0.516,$178.35M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/nak,NYSE
3678,NOG,"Northern Oil and Gas, Inc.",2.05,$790.79M,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/nog,NYSE
3679,NBY,"NovaBay Pharmaceuticals, Inc.",1.75,$33.24M,2007,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/nby,NYSE
3680,NG,Novagold Resources Inc.,4.66,$1.52B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ng,NYSE
3681,NRCG,NRC Group Holdings Corp.,8.84,$336.37M,2017,Basic Industries,Environmental Services,https://www.nasdaq.com/symbol/nrcg,NYSE
3682,NRCG.WS,NRC Group Holdings Corp.,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nrcg.ws,NYSE
3683,NTN,"NTN Buzztime, Inc.",3.31,$9.53M,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/ntn,NYSE
3684,NES,"Nuverra Environmental Solutions, Inc.",4.02,$63.15M,2017,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/nes,NYSE
3685,OCX,OncoCyte Corporation,4.09,$212.57M,2015,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/ocx,NYSE
3686,OGEN,Oragenics Inc.,0.4901,$22.61M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ogen,NYSE
3687,PCG^A,Pacific Gas & Electric Co.,24.5234,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^a,NYSE
3688,PCG^B,Pacific Gas & Electric Co.,22.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^b,NYSE
3689,PCG^C,Pacific Gas & Electric Co.,20,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^c,NYSE
3690,PCG^D,Pacific Gas & Electric Co.,20,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^d,NYSE
3691,PCG^E,Pacific Gas & Electric Co.,19.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/pcg^e,NYSE
