Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Exchange
AXDX,"Accelerate Diagnostics, Inc.",20.06,$1.09B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,NASDAQ
XLRN,Acceleron Pharma Inc.,38.36,$2.02B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,NASDAQ
ARAY,Accuray Incorporated,3.7,$325.69M,2007,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc.",2.34,$184.66M,2011,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,NASDAQ
ACER,Acer Therapeutics Inc.,16.99,$171.38M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,NASDAQ
ACHV,"Achieve Life Sciences, Inc. ",2.53,$19.8M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",2.98,$413.4M,2006,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,NASDAQ
ACIW,"ACI Worldwide, Inc.",32.03,$3.54B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,NASDAQ
ACRS,"Aclaris Therapeutics, Inc.",4.89,$201.82M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,NASDAQ
ACMR,"ACM Research, Inc.",16.73,$269.22M,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,NASDAQ
ACNB,ACNB Corporation,36.76,$259.15M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",7.68,$369.4M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,NASDAQ
ACTT,Act II Global Acquisition Corp.,9.71,$291.3M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/actt,NASDAQ
ACTTU,Act II Global Acquisition Corp.,10.11,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttu,NASDAQ
ACTTW,Act II Global Acquisition Corp.,0.68,$14.79M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/acttw,NASDAQ
ATVI,"Activision Blizzard, Inc",45.07,$34.52B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc.",4.77,$131.33M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,NASDAQ
ADMP,Adamis Pharmaceuticals Corporation,1.42,$67.37M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,NASDAQ
ADAP,Adaptimmune Therapeutics plc,3.66,$383.3M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,NASDAQ
ADUS,Addus HomeCare Corporation,72.56,$956.53M,2009,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,NASDAQ
AEY,"ADDvantage Technologies Group, Inc.",1.45,$15.02M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,NASDAQ
IOTS,Adesto Technologies Corporation,7.85,$233.3M,2015,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots,NASDAQ
ADIL,"Adial Pharmaceuticals, Inc",1.93,$19.72M,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adil,NASDAQ
ADILW,"Adial Pharmaceuticals, Inc",0.3201,n/a,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adilw,NASDAQ
ADMA,ADMA Biologics Inc,3.82,$226.59M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,NASDAQ
ADBE,Adobe Inc.,275.6,$134.48B,1986,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,NASDAQ
ADOM,"ADOMANI, Inc.",0.3169,$23.08M,2017,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom,NASDAQ
ADTN,"ADTRAN, Inc.",16.47,$787.42M,1994,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn,NASDAQ
ADRO,"Aduro Biotech, Inc.",1.89,$151.28M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro,NASDAQ
ADES,"Advanced Emissions Solutions, Inc.",12.77,$238.15M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades,NASDAQ
AEIS,"Advanced Energy Industries, Inc.",50.84,$1.94B,1995,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeis,NASDAQ
AMD,"Advanced Micro Devices, Inc.",29.2,$31.58B,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amd,NASDAQ
ADXS,"Advaxis, Inc.",2.2,$17.65M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adxs,NASDAQ
ADVM,"Adverum Biotechnologies, Inc.",11.51,$730.13M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/advm,NASDAQ
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,22.32,$3.35M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwmc,NASDAQ
DWSH,AdvisorShares Dorsey Wright Short ETF,26.0599,$22.15M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/dwsh,NASDAQ
BKCH,AdvisorShares Sabretooth ETF,26.8923,$2.69M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bkch,NASDAQ
ACT,AdvisorShares Vice ETF,24.6612,$12.95M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/act,NASDAQ
AEGN,Aegion Corp,16.28,$510.26M,n/a,Basic Industries,Water Supply,https://www.nasdaq.com/symbol/aegn,NASDAQ
AGLE,"Aeglea BioTherapeutics, Inc.",6.35,$183.19M,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agle,NASDAQ
AEHR,Aehr Test Systems,1.6,$36.1M,1997,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aehr,NASDAQ
AMTX,"Aemetis, Inc",0.95,$19.36M,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/amtx,NASDAQ
AERI,"Aerie Pharmaceuticals, Inc.",33.29,$1.53B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aeri,NASDAQ
AVAV,"AeroVironment, Inc.",61.49,$1.47B,2007,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/avav,NASDAQ
ARPO,"Aerpio Pharmaceuticals, Inc.",0.965,$39.17M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/arpo,NASDAQ
AEZS,AEterna Zentaris Inc.,2.95,$47.82M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aezs,NASDAQ
AEMD,"Aethlon Medical, Inc.",0.339,$6.43M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/aemd,NASDAQ
GNMX,"Aevi Genomic Medicine, Inc.",0.1788,$11.58M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/gnmx,NASDAQ
AFMD,Affimed N.V.,3.23,$201.65M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/afmd,NASDAQ
AGBAU,AGBA Acquisition Limited,10.0412,$42.27M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/agbau,NASDAQ
AGEN,Agenus Inc.,2.88,$386.66M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/agen,NASDAQ
AGRX,"Agile Therapeutics, Inc.",1.39,$60.8M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agrx,NASDAQ
AGYS,"Agilysys, Inc.",22.69,$533.1M,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/agys,NASDAQ
AGIO,"Agios Pharmaceuticals, Inc.",50.66,$2.97B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agio,NASDAQ
AGMH,AGM Group Holdings Inc.,16.45,$546.4M,2018,Technology,EDP Services,https://www.nasdaq.com/symbol/agmh,NASDAQ
AGNC,AGNC Investment Corp.,16.79,$9.01B,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc,NASDAQ
AGNCB,AGNC Investment Corp.,25.82,$9.01B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb,NASDAQ
AGNCM,AGNC Investment Corp.,25.36,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncm,NASDAQ
AGNCN,AGNC Investment Corp.,26.4,"$343,200 ",n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn,NASDAQ
AGFS,"AgroFresh Solutions, Inc.",2.04,$104.96M,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs,NASDAQ
AGFSW,"AgroFresh Solutions, Inc.",0.0199,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw,NASDAQ
ALRN,"Aileron Therapeutics, Inc.",0.89,$23.78M,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn,NASDAQ
AIMT,"Aimmune Therapeutics, Inc.",20.54,$1.28B,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt,NASDAQ
AIRT,"Air T, Inc.",17,$51.62M,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt,NASDAQ
AIRTP,"Air T, Inc.",2.69,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airtp,NASDAQ
AIRTW,"Air T, Inc.",0.0996,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airtw,NASDAQ
ATSG,"Air Transport Services Group, Inc",23.06,$1.37B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg,NASDAQ
AIRG,"Airgain, Inc.",13.865,$139.5M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg,NASDAQ
ANTE,AirNet Technology Inc.,1.63,$20.48M,n/a,Technology,Advertising,https://www.nasdaq.com/symbol/ante,NASDAQ
AITB,"AIT Therapeutics, Inc.",5.25,$53.5M,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aitb,NASDAQ
AKAM,"Akamai Technologies, Inc.",76.58,$12.55B,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam,NASDAQ
AKTX,Akari Therapeutics Plc,2.2,$34.89M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx,NASDAQ
AKCA,"Akcea Therapeutics, Inc.",24.39,$2.26B,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca,NASDAQ
AKBA,"Akebia Therapeutics, Inc.",4.43,$522.13M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akba,NASDAQ
AKER,Akers Biosciences Inc.,0.5653,$7.06M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/aker,NASDAQ
AKRX,"Akorn, Inc.",4.34,$546.19M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akrx,NASDAQ
AKTS,"Akoustis Technologies, Inc.",6.81,$204.69M,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/akts,NASDAQ
ALRM,"Alarm.com Holdings, Inc.",54.07,$2.61B,2015,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/alrm,NASDAQ
ALSK,"Alaska Communications Systems Group, Inc.",1.745,$93.85M,1999,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/alsk,NASDAQ
ALAC,Alberton Acquisition Corporation,10.09,$148.22M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alac,NASDAQ
ALACR,Alberton Acquisition Corporation,0.19,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacr,NASDAQ
ALACU,Alberton Acquisition Corporation,10.3,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacu,NASDAQ
ALACW,Alberton Acquisition Corporation,0.079,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/alacw,NASDAQ
ALBO,"Albireo Pharma, Inc.",31.87,$383.69M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/albo,NASDAQ
ABDC,Alcentra Capital Corp.,8.46,$108.93M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abdc,NASDAQ
ALDR,"Alder BioPharmaceuticals, Inc.",12.45,$1.04B,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldr,NASDAQ
ALDX,"Aldeyra Therapeutics, Inc.",6.66,$183.09M,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aldx,NASDAQ
ALEC,"Alector, Inc.",20.35,$1.4B,2019,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alec,NASDAQ
ALXN,"Alexion Pharmaceuticals, Inc.",120.14,$26.94B,1996,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alxn,NASDAQ
ALCO,"Alico, Inc.",29.97,$223.88M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/alco,NASDAQ
ALGN,"Align Technology, Inc.",288.68,$23.1B,2001,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/algn,NASDAQ
ALIM,"Alimera Sciences, Inc.",0.92,$65.32M,2010,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alim,NASDAQ
ALYA,Alithya Group inc.,2.64,$128.04M,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/alya,NASDAQ
ALJJ,"ALJ Regional Holdings, Inc.",1.45,$55.14M,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/aljj,NASDAQ
ALKS,Alkermes plc,22.18,$3.48B,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alks,NASDAQ
ALLK,Allakos Inc.,43.3,$1.87B,2018,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/allk,NASDAQ
ABTX,"Allegiance Bancshares, Inc.",32.9,$702.14M,2015,Finance,Major Banks,https://www.nasdaq.com/symbol/abtx,NASDAQ
ALGT,Allegiant Travel Company,141.6,$2.31B,2006,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/algt,NASDAQ
ALGR,Allegro Merger Corp.,10.03,$191.17M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algr,NASDAQ
ALGRR,Allegro Merger Corp.,0.24,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrr,NASDAQ
ALGRU,Allegro Merger Corp.,10.51,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algru,NASDAQ
ALGRW,Allegro Merger Corp.,0.3,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/algrw,NASDAQ
ALNA,"Allena Pharmaceuticals, Inc.",4.69,$97.63M,2017,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/alna,NASDAQ
ARLP,"Alliance Resource Partners, L.P.",16.99,$2.18B,1999,Energy,Coal Mining,https://www.nasdaq.com/symbol/arlp,NASDAQ
LNT,Alliant Energy Corporation,49.6,$11.77B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt,NASDAQ
AHPI,"Allied Healthcare Products, Inc.",1.88,$7.55M,1992,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/ahpi,NASDAQ
AMOT,"Allied Motion Technologies, Inc.",34.38,$330.29M,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/amot,NASDAQ
ALLO,"Allogene Therapeutics, Inc.",27.4,$3.33B,2018,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/allo,NASDAQ
ALLT,Allot Ltd.,6.99,$237.92M,2006,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/allt,NASDAQ
MDRX,"Allscripts Healthcare Solutions, Inc.",10.3,$1.71B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/mdrx,NASDAQ
ALNY,"Alnylam Pharmaceuticals, Inc.",71.5,$7.62B,2004,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alny,NASDAQ
AOSL,Alpha and Omega Semiconductor Limited,8.46,$205.51M,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/aosl,NASDAQ
GOOG,Alphabet Inc.,1092.5,$758.46B,2004,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/goog,NASDAQ
GOOGL,Alphabet Inc.,1093.89,$759.43B,n/a,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/googl,NASDAQ
SMCP,AlphaMark Actively Managed Small Cap ETF,23.16,$22M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/smcp,NASDAQ
ATEC,"Alphatec Holdings, Inc.",4.58,$214.61M,2006,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/atec,NASDAQ
ALPN,"Alpine Immune Sciences, Inc.",4.5,$83.57M,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alpn,NASDAQ
AMR,"Alta Mesa Resources, Inc.",0.1529,$58.24M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amr,NASDAQ
AMRWW,"Alta Mesa Resources, Inc.",0.007,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/amrww,NASDAQ
AABA,Altaba Inc.,66.9,$34.76B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/aaba,NASDAQ
ALTR,Altair Engineering Inc.,37.52,$2.67B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/altr,NASDAQ
ATHE,Alterity Therapeutics Limited,1.37,$19.66M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/athe,NASDAQ
ALT,"Altimmune, Inc.",2.46,$33.09M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alt,NASDAQ
ASPS,Altisource Portfolio Solutions S.A.,19.28,$313.85M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/asps,NASDAQ
AIMC,Altra Industrial Motion Corp.,35.8,$2.31B,2006,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aimc,NASDAQ
ALTM,Altus Midstream Company,3.91,$1.27B,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/altm,NASDAQ
AMAG,"AMAG Pharmaceuticals, Inc.",9.04,$305.25M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amag,NASDAQ
AMAL,Amalgamated Bank,16.8,$533.76M,2018,Consumer Non-Durables,Textiles,https://www.nasdaq.com/symbol/amal,NASDAQ
AMRN,Amarin Corporation plc,18.76,$6.2B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/amrn,NASDAQ
AMRK,"A-Mark Precious Metals, Inc.",12.66,$89.02M,n/a,Basic Industries,Other Specialty Stores,https://www.nasdaq.com/symbol/amrk,NASDAQ
AMZN,"Amazon.com, Inc.",1886.03,$928.55B,1997,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/amzn,NASDAQ
AMBC,"Ambac Financial Group, Inc.",15.1,$687.36M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambc,NASDAQ
AMBCW,"Ambac Financial Group, Inc.",6.95,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/ambcw,NASDAQ
AMBA,"Ambarella, Inc.",41.7,$1.37B,2012,Technology,Semiconductors,https://www.nasdaq.com/symbol/amba,NASDAQ
AMCX,AMC Networks Inc.,55.08,$3.13B,n/a,Consumer Services,Television Services,https://www.nasdaq.com/symbol/amcx,NASDAQ
AMCI,AMCI Acquisition Corp.,9.94,$274M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amci,NASDAQ
AMCIU,AMCI Acquisition Corp.,10.2,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciu,NASDAQ
AMCIW,AMCI Acquisition Corp.,0.32,n/a,2018,Finance,Business Services,https://www.nasdaq.com/symbol/amciw,NASDAQ
DOX,Amdocs Limited,61.44,$8.43B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/dox,NASDAQ
AMED,Amedisys Inc,119.53,$3.83B,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/amed,NASDAQ
AMTB,Amerant Bancorp Inc.,19.33,$835.14M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtb,NASDAQ
AMTBB,Amerant Bancorp Inc.,13.59,$587.15M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amtbb,NASDAQ
UHAL,Amerco,381.52,$7.48B,n/a,Consumer Services,Rental/Leasing Companies,https://www.nasdaq.com/symbol/uhal,NASDAQ
AMRH,"Ameri Holdings, Inc.",0.3682,$18.53M,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrh,NASDAQ
AMRHW,"Ameri Holdings, Inc.",0.06,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/amrhw,NASDAQ
ATAX,"America First Multifamily Investors, L.P.",7.1,$429.03M,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/atax,NASDAQ
AMOV,"America Movil, S.A.B. de C.V.",14.39,$47.5B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov,NASDAQ
AAL,"American Airlines Group, Inc.",32.56,$14.48B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/aal,NASDAQ
AETI,"American Electric Technologies, Inc.",0.638,$5.99M,n/a,Energy,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aeti,NASDAQ
AFIN,"American Finance Trust, Inc.",10.9,$1.16B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afin,NASDAQ
AFINP,"American Finance Trust, Inc.",25.19,$30.23M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/afinp,NASDAQ
AMNB,"American National Bankshares, Inc.",35.63,$397.92M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/amnb,NASDAQ
